time [yr], capacity [units]
1.9830000e+03, 1.3543315e+03
1.9833988e+03, 1.4574823e+03
1.9837976e+03, 1.4114420e+03
1.9841964e+03, 1.4250131e+03
1.9845952e+03, 1.3545334e+03
1.9849940e+03, 1.4201931e+03
1.9853929e+03, 1.3955711e+03
1.9857917e+03, 1.4297174e+03
1.9861905e+03, 1.4037272e+03
1.9865893e+03, 1.3684683e+03
1.9869881e+03, 1.3806785e+03
1.9873869e+03, 1.3628195e+03
1.9877857e+03, 1.4330671e+03
1.9881845e+03, 1.4444308e+03
1.9885833e+03, 1.3562406e+03
1.9889821e+03, 1.4648372e+03
1.9893810e+03, 1.3719563e+03
1.9897798e+03, 1.4657712e+03
1.9901786e+03, 1.3423439e+03
1.9905774e+03, 1.4686498e+03
1.9909762e+03, 1.4652840e+03
1.9913750e+03, 1.3626338e+03
1.9917738e+03, 1.3709073e+03
1.9921726e+03, 1.4187527e+03
1.9925714e+03, 1.4628027e+03
1.9929702e+03, 1.4014142e+03
1.9933690e+03, 1.3600720e+03
1.9937679e+03, 1.3513941e+03
1.9941667e+03, 1.3816801e+03
1.9945655e+03, 1.4572108e+03
1.9949643e+03, 1.3390872e+03
1.9953631e+03, 1.4126103e+03
1.9957619e+03, 1.3423952e+03
1.9961607e+03, 1.4065450e+03
1.9965595e+03, 1.4091686e+03
1.9969583e+03, 1.4239581e+03
1.9973571e+03, 1.4218159e+03
1.9977560e+03, 1.4688610e+03
1.9981548e+03, 1.4697838e+03
1.9985536e+03, 1.4108180e+03
1.9989524e+03, 1.3862000e+03
1.9993512e+03, 1.4085935e+03
1.9997500e+03, 1.3409923e+03
2.0001488e+03, 1.3499081e+03
2.0005476e+03, 1.4530968e+03
2.0009464e+03, 1.3714995e+03
2.0013452e+03, 1.3774622e+03
2.0017440e+03, 1.4345468e+03
2.0021429e+03, 1.4681553e+03
2.0025417e+03, 1.3905462e+03
2.0029405e+03, 1.4103653e+03
2.0033393e+03, 1.4628751e+03
2.0037381e+03, 1.4028651e+03
2.0041369e+03, 1.3998629e+03
2.0045357e+03, 1.3918023e+03
2.0049345e+03, 1.4701094e+03
2.0053333e+03, 1.4297385e+03
2.0057321e+03, 1.3503100e+03
2.0061310e+03, 1.4079243e+03
2.0065298e+03, 1.4643920e+03
2.0069286e+03, 1.4078831e+03
2.0073274e+03, 1.3641290e+03
2.0077262e+03, 1.3477007e+03
2.0081250e+03, 1.3977546e+03
2.0085238e+03, 1.4170559e+03
2.0089226e+03, 1.3772059e+03
2.0093214e+03, 1.4253519e+03
2.0097202e+03, 1.4638580e+03
2.0101190e+03, 1.4136665e+03
2.0105179e+03, 1.4463886e+03
2.0109167e+03, 1.4598999e+03
2.0113155e+03, 1.4299731e+03
2.0117143e+03, 1.3607201e+03
2.0121131e+03, 1.3497546e+03
2.0125119e+03, 1.3453495e+03
2.0129107e+03, 1.4509944e+03
2.0133095e+03, 1.3964284e+03
2.0137083e+03, 1.4481702e+03
2.0141071e+03, 1.3738645e+03
2.0145060e+03, 1.4624781e+03
2.0149048e+03, 1.4604054e+03
2.0153036e+03, 1.3840850e+03
2.0157024e+03, 1.3905382e+03
2.0161012e+03, 1.4197689e+03
2.0165000e+03, 1.4075702e+03
