time [yr], capacity [units]
1.9830000e+03, 7.4398740e+02
1.9833988e+03, 7.6119953e+02
1.9837976e+03, 7.5307317e+02
1.9841964e+03, 7.2678435e+02
1.9845952e+03, 7.4699491e+02
1.9849940e+03, 7.4687176e+02
1.9853929e+03, 7.6087209e+02
1.9857917e+03, 7.4049601e+02
1.9861905e+03, 7.5381054e+02
1.9865893e+03, 7.1063635e+02
1.9869881e+03, 7.3703677e+02
1.9873869e+03, 7.6707118e+02
1.9877857e+03, 7.4980072e+02
1.9881845e+03, 7.1710872e+02
1.9885833e+03, 7.6234708e+02
1.9889821e+03, 7.6234859e+02
1.9893810e+03, 7.1331836e+02
1.9897798e+03, 7.1016509e+02
1.9901786e+03, 7.6487249e+02
1.9905774e+03, 7.1935821e+02
1.9909762e+03, 7.1278262e+02
1.9913750e+03, 7.0893363e+02
1.9917738e+03, 7.0337498e+02
1.9921726e+03, 7.5166389e+02
1.9925714e+03, 7.1954860e+02
1.9929702e+03, 7.6191914e+02
1.9933690e+03, 7.5615971e+02
1.9937679e+03, 7.2366343e+02
1.9941667e+03, 7.5771189e+02
1.9945655e+03, 7.1307106e+02
1.9949643e+03, 7.6729923e+02
1.9953631e+03, 7.5944596e+02
1.9957619e+03, 7.0394949e+02
1.9961607e+03, 7.4298261e+02
1.9965595e+03, 7.0657215e+02
1.9969583e+03, 7.1773024e+02
1.9973571e+03, 7.4726933e+02
1.9977560e+03, 7.0215487e+02
1.9981548e+03, 7.0663861e+02
1.9985536e+03, 7.1814807e+02
1.9989524e+03, 7.1877585e+02
1.9993512e+03, 7.2995566e+02
1.9997500e+03, 7.5588719e+02
2.0001488e+03, 7.4564184e+02
2.0005476e+03, 7.6553148e+02
2.0009464e+03, 7.2036333e+02
2.0013452e+03, 7.5026779e+02
2.0017440e+03, 7.2905091e+02
2.0021429e+03, 7.0886442e+02
2.0025417e+03, 7.3423996e+02
2.0029405e+03, 7.3134486e+02
2.0033393e+03, 7.0008478e+02
2.0037381e+03, 7.4969004e+02
2.0041369e+03, 7.5443982e+02
2.0045357e+03, 7.1471737e+02
2.0049345e+03, 7.2943199e+02
2.0053333e+03, 7.2625696e+02
2.0057321e+03, 7.0505726e+02
2.0061310e+03, 7.2667317e+02
2.0065298e+03, 7.5090288e+02
2.0069286e+03, 7.3779205e+02
2.0073274e+03, 7.3425222e+02
2.0077262e+03, 7.2844805e+02
2.0081250e+03, 7.2434722e+02
2.0085238e+03, 7.1093599e+02
2.0089226e+03, 7.1755562e+02
2.0093214e+03, 7.6352098e+02
2.0097202e+03, 7.6007812e+02
2.0101190e+03, 7.4992752e+02
2.0105179e+03, 7.2028464e+02
2.0109167e+03, 7.0831560e+02
2.0113155e+03, 7.3643356e+02
2.0117143e+03, 7.2060494e+02
2.0121131e+03, 7.2015313e+02
2.0125119e+03, 7.0155569e+02
2.0129107e+03, 7.1590387e+02
2.0133095e+03, 7.1282750e+02
2.0137083e+03, 7.5949304e+02
2.0141071e+03, 7.2366574e+02
2.0145060e+03, 7.3130607e+02
2.0149048e+03, 7.3879414e+02
2.0153036e+03, 7.6661141e+02
2.0157024e+03, 7.4332881e+02
2.0161012e+03, 7.3488434e+02
2.0165000e+03, 7.2847851e+02
