time [yr], capacity [units]
1.9830000e+03, 1.5959199e+03
1.9833988e+03, 1.4993192e+03
1.9837976e+03, 1.5628117e+03
1.9841964e+03, 1.5356305e+03
1.9845952e+03, 1.4956026e+03
1.9849940e+03, 1.5606958e+03
1.9853929e+03, 1.5485984e+03
1.9857917e+03, 1.5272314e+03
1.9861905e+03, 1.6061201e+03
1.9865893e+03, 1.6137763e+03
1.9869881e+03, 1.6297212e+03
1.9873869e+03, 1.6030215e+03
1.9877857e+03, 1.5027285e+03
1.9881845e+03, 1.6191644e+03
1.9885833e+03, 1.6111149e+03
1.9889821e+03, 1.6326457e+03
1.9893810e+03, 1.5060647e+03
1.9897798e+03, 1.4945174e+03
1.9901786e+03, 1.5101312e+03
1.9905774e+03, 1.5276957e+03
1.9909762e+03, 1.5228272e+03
1.9913750e+03, 1.5393683e+03
1.9917738e+03, 1.6231384e+03
1.9921726e+03, 1.6183951e+03
1.9925714e+03, 1.5998403e+03
1.9929702e+03, 1.5292669e+03
1.9933690e+03, 1.5731051e+03
1.9937679e+03, 1.5894887e+03
1.9941667e+03, 1.5687252e+03
1.9945655e+03, 1.5554509e+03
1.9949643e+03, 1.5424632e+03
1.9953631e+03, 1.6352676e+03
1.9957619e+03, 1.5068848e+03
1.9961607e+03, 1.5216362e+03
1.9965595e+03, 1.5477496e+03
1.9969583e+03, 1.5060011e+03
1.9973571e+03, 1.6199672e+03
1.9977560e+03, 1.5464040e+03
1.9981548e+03, 1.6160803e+03
1.9985536e+03, 1.6221006e+03
1.9989524e+03, 1.5664827e+03
1.9993512e+03, 1.5223948e+03
1.9997500e+03, 1.6187842e+03
2.0001488e+03, 1.5404297e+03
2.0005476e+03, 1.5609136e+03
2.0009464e+03, 1.5546777e+03
2.0013452e+03, 1.6152041e+03
2.0017440e+03, 1.5231899e+03
2.0021429e+03, 1.5939801e+03
2.0025417e+03, 1.5092664e+03
2.0029405e+03, 1.6282368e+03
2.0033393e+03, 1.4920264e+03
2.0037381e+03, 1.6024805e+03
2.0041369e+03, 1.5591443e+03
2.0045357e+03, 1.5713405e+03
2.0049345e+03, 1.5646790e+03
2.0053333e+03, 1.6115106e+03
2.0057321e+03, 1.6169554e+03
2.0061310e+03, 1.5384168e+03
2.0065298e+03, 1.6358750e+03
2.0069286e+03, 1.5222679e+03
2.0073274e+03, 1.6263300e+03
2.0077262e+03, 1.5932901e+03
2.0081250e+03, 1.6337464e+03
2.0085238e+03, 1.5595002e+03
2.0089226e+03, 1.5016346e+03
2.0093214e+03, 1.4999025e+03
2.0097202e+03, 1.6298483e+03
2.0101190e+03, 1.6409525e+03
2.0105179e+03, 1.6208056e+03
2.0109167e+03, 1.4995831e+03
2.0113155e+03, 1.5527803e+03
2.0117143e+03, 1.5836817e+03
2.0121131e+03, 1.5198519e+03
2.0125119e+03, 1.6007591e+03
2.0129107e+03, 1.6012008e+03
2.0133095e+03, 1.5930614e+03
2.0137083e+03, 1.5076179e+03
2.0141071e+03, 1.5459915e+03
2.0145060e+03, 1.6181570e+03
2.0149048e+03, 1.6171564e+03
2.0153036e+03, 1.4978415e+03
2.0157024e+03, 1.5848077e+03
2.0161012e+03, 1.5551348e+03
2.0165000e+03, 1.6155654e+03
