time [yr], capacity [units]
1.9830000e+03, 7.9044421e+02
1.9833988e+03, 8.0150402e+02
1.9837976e+03, 8.0315375e+02
1.9841964e+03, 7.6887856e+02
1.9845952e+03, 7.8681788e+02
1.9849940e+03, 7.5533388e+02
1.9853929e+03, 8.0179640e+02
1.9857917e+03, 7.9761579e+02
1.9861905e+03, 7.8393889e+02
1.9865893e+03, 7.8847971e+02
1.9869881e+03, 7.6312228e+02
1.9873869e+03, 7.6710128e+02
1.9877857e+03, 8.1820098e+02
1.9881845e+03, 7.9802004e+02
1.9885833e+03, 8.1220548e+02
1.9889821e+03, 7.7579075e+02
1.9893810e+03, 8.2825181e+02
1.9897798e+03, 8.2312744e+02
1.9901786e+03, 7.6022618e+02
1.9905774e+03, 7.7863765e+02
1.9909762e+03, 7.8290511e+02
1.9913750e+03, 7.6175881e+02
1.9917738e+03, 8.2240123e+02
1.9921726e+03, 7.9091118e+02
1.9925714e+03, 7.5776274e+02
1.9929702e+03, 7.8147696e+02
1.9933690e+03, 7.8452197e+02
1.9937679e+03, 8.2123972e+02
1.9941667e+03, 8.1501017e+02
1.9945655e+03, 8.0572350e+02
1.9949643e+03, 7.7446163e+02
1.9953631e+03, 7.9329459e+02
1.9957619e+03, 7.8932813e+02
1.9961607e+03, 8.0388761e+02
1.9965595e+03, 7.8005023e+02
1.9969583e+03, 8.0991734e+02
1.9973571e+03, 7.6981993e+02
1.9977560e+03, 7.6073279e+02
1.9981548e+03, 7.8030142e+02
1.9985536e+03, 8.2045446e+02
1.9989524e+03, 8.2877501e+02
1.9993512e+03, 7.7985014e+02
1.9997500e+03, 8.2490676e+02
2.0001488e+03, 8.0149517e+02
2.0005476e+03, 8.2242006e+02
2.0009464e+03, 7.8724884e+02
2.0013452e+03, 8.1476569e+02
2.0017440e+03, 7.8714262e+02
2.0021429e+03, 8.2862543e+02
2.0025417e+03, 8.2639759e+02
2.0029405e+03, 7.9677396e+02
2.0033393e+03, 7.9278187e+02
2.0037381e+03, 7.5812356e+02
2.0041369e+03, 8.1770660e+02
2.0045357e+03, 8.2479443e+02
2.0049345e+03, 7.7065502e+02
2.0053333e+03, 8.1089226e+02
2.0057321e+03, 7.5773173e+02
2.0061310e+03, 8.2618520e+02
2.0065298e+03, 8.0545175e+02
2.0069286e+03, 7.9982452e+02
2.0073274e+03, 7.6741104e+02
2.0077262e+03, 7.9919378e+02
2.0081250e+03, 8.0713032e+02
2.0085238e+03, 8.1470090e+02
2.0089226e+03, 8.2456647e+02
2.0093214e+03, 8.2644967e+02
2.0097202e+03, 8.1538134e+02
2.0101190e+03, 7.9516813e+02
2.0105179e+03, 8.1357200e+02
2.0109167e+03, 8.1754721e+02
2.0113155e+03, 8.2351964e+02
2.0117143e+03, 8.2828600e+02
2.0121131e+03, 7.9316195e+02
2.0125119e+03, 8.1699927e+02
2.0129107e+03, 8.2387584e+02
2.0133095e+03, 7.6606983e+02
2.0137083e+03, 8.1595878e+02
2.0141071e+03, 8.1008812e+02
2.0145060e+03, 7.6325269e+02
2.0149048e+03, 7.9790822e+02
2.0153036e+03, 7.8606442e+02
2.0157024e+03, 7.6753015e+02
2.0161012e+03, 7.7888361e+02
2.0165000e+03, 7.6949774e+02
