time [yr], capacity [units]
1.9830000e+03, 4.3509000e+02
1.9833988e+03, 4.2377837e+02
1.9837976e+03, 4.4344586e+02
1.9841964e+03, 4.2947125e+02
1.9845952e+03, 4.2338346e+02
1.9849940e+03, 4.0909288e+02
1.9853929e+03, 4.2119974e+02
1.9857917e+03, 4.2753117e+02
1.9861905e+03, 4.0829400e+02
1.9865893e+03, 4.4130261e+02
1.9869881e+03, 4.3565447e+02
1.9873869e+03, 4.3866877e+02
1.9877857e+03, 4.2395399e+02
1.9881845e+03, 4.4199884e+02
1.9885833e+03, 4.2193161e+02
1.9889821e+03, 4.2131712e+02
1.9893810e+03, 4.4036616e+02
1.9897798e+03, 4.2063772e+02
1.9901786e+03, 4.3658913e+02
1.9905774e+03, 4.1069403e+02
1.9909762e+03, 4.0843315e+02
1.9913750e+03, 4.1614469e+02
1.9917738e+03, 4.3602147e+02
1.9921726e+03, 4.3051862e+02
1.9925714e+03, 4.2870170e+02
1.9929702e+03, 4.2609594e+02
1.9933690e+03, 4.3979348e+02
1.9937679e+03, 4.1213331e+02
1.9941667e+03, 4.3651197e+02
1.9945655e+03, 4.1171341e+02
1.9949643e+03, 4.2043393e+02
1.9953631e+03, 4.0733995e+02
1.9957619e+03, 4.4431905e+02
1.9961607e+03, 4.2194679e+02
1.9965595e+03, 4.1157445e+02
1.9969583e+03, 4.3249180e+02
1.9973571e+03, 4.1111593e+02
1.9977560e+03, 4.1456090e+02
1.9981548e+03, 4.0827685e+02
1.9985536e+03, 4.0654798e+02
1.9989524e+03, 4.3480885e+02
1.9993512e+03, 4.1340931e+02
1.9997500e+03, 4.3317745e+02
2.0001488e+03, 4.2408781e+02
2.0005476e+03, 4.2244115e+02
2.0009464e+03, 4.1681658e+02
2.0013452e+03, 4.1786301e+02
2.0017440e+03, 4.2336361e+02
2.0021429e+03, 4.4405359e+02
2.0025417e+03, 4.2423319e+02
2.0029405e+03, 4.0884992e+02
2.0033393e+03, 4.0580541e+02
2.0037381e+03, 4.4119014e+02
2.0041369e+03, 4.2146204e+02
2.0045357e+03, 4.4147845e+02
2.0049345e+03, 4.2907866e+02
2.0053333e+03, 4.1954822e+02
2.0057321e+03, 4.0794599e+02
2.0061310e+03, 4.2309326e+02
2.0065298e+03, 4.2185437e+02
2.0069286e+03, 4.3708260e+02
2.0073274e+03, 4.4367277e+02
2.0077262e+03, 4.1933075e+02
2.0081250e+03, 4.2930759e+02
2.0085238e+03, 4.4266924e+02
2.0089226e+03, 4.4390846e+02
2.0093214e+03, 4.4275287e+02
2.0097202e+03, 4.3863585e+02
2.0101190e+03, 4.2419727e+02
2.0105179e+03, 4.0423982e+02
2.0109167e+03, 4.0530689e+02
2.0113155e+03, 4.3278788e+02
2.0117143e+03, 4.1906887e+02
2.0121131e+03, 4.1458825e+02
2.0125119e+03, 4.2328170e+02
2.0129107e+03, 4.2895655e+02
2.0133095e+03, 4.3615179e+02
2.0137083e+03, 4.0727993e+02
2.0141071e+03, 4.3342547e+02
2.0145060e+03, 4.0931495e+02
2.0149048e+03, 4.3065568e+02
2.0153036e+03, 4.2748135e+02
2.0157024e+03, 4.1401286e+02
2.0161012e+03, 4.0758506e+02
2.0165000e+03, 4.3332795e+02
