time [yr], capacity [units]
1.9830000e+03, 5.2675551e+02
1.9833988e+03, 5.2536805e+02
1.9837976e+03, 5.4044673e+02
1.9841964e+03, 5.0984679e+02
1.9845952e+03, 5.1212230e+02
1.9849940e+03, 5.2492263e+02
1.9853929e+03, 5.3937463e+02
1.9857917e+03, 5.3742897e+02
1.9861905e+03, 5.2779843e+02
1.9865893e+03, 5.1950278e+02
1.9869881e+03, 5.1566210e+02
1.9873869e+03, 5.5063014e+02
1.9877857e+03, 5.4465741e+02
1.9881845e+03, 5.3272412e+02
1.9885833e+03, 5.3514352e+02
1.9889821e+03, 5.0511142e+02
1.9893810e+03, 5.0908262e+02
1.9897798e+03, 5.4399328e+02
1.9901786e+03, 5.0599776e+02
1.9905774e+03, 5.2593329e+02
1.9909762e+03, 5.1392088e+02
1.9913750e+03, 5.2984416e+02
1.9917738e+03, 5.0708870e+02
1.9921726e+03, 5.3191834e+02
1.9925714e+03, 5.4346004e+02
1.9929702e+03, 5.4617928e+02
1.9933690e+03, 5.2290560e+02
1.9937679e+03, 5.3388690e+02
1.9941667e+03, 5.1187986e+02
1.9945655e+03, 5.2241827e+02
1.9949643e+03, 5.0908334e+02
1.9953631e+03, 5.2461776e+02
1.9957619e+03, 5.3447467e+02
1.9961607e+03, 5.4116506e+02
1.9965595e+03, 5.0452416e+02
1.9969583e+03, 5.4237715e+02
1.9973571e+03, 5.4633751e+02
1.9977560e+03, 5.3760557e+02
1.9981548e+03, 5.2055369e+02
1.9985536e+03, 5.1794733e+02
1.9989524e+03, 5.3739406e+02
1.9993512e+03, 5.3141066e+02
1.9997500e+03, 5.3156014e+02
2.0001488e+03, 5.4588823e+02
2.0005476e+03, 5.3522201e+02
2.0009464e+03, 5.3409854e+02
2.0013452e+03, 5.4305754e+02
2.0017440e+03, 5.0811974e+02
2.0021429e+03, 5.2732672e+02
2.0025417e+03, 5.1929083e+02
2.0029405e+03, 5.2259831e+02
2.0033393e+03, 5.4343005e+02
2.0037381e+03, 5.2898720e+02
2.0041369e+03, 5.2740398e+02
2.0045357e+03, 5.4103443e+02
2.0049345e+03, 5.0577820e+02
2.0053333e+03, 5.4076051e+02
2.0057321e+03, 5.2440860e+02
2.0061310e+03, 5.1536735e+02
2.0065298e+03, 5.2388135e+02
2.0069286e+03, 5.2641485e+02
2.0073274e+03, 5.2456217e+02
2.0077262e+03, 5.4108757e+02
2.0081250e+03, 5.3720476e+02
2.0085238e+03, 5.3204569e+02
2.0089226e+03, 5.1710706e+02
2.0093214e+03, 5.0648372e+02
2.0097202e+03, 5.5129765e+02
2.0101190e+03, 5.1285585e+02
2.0105179e+03, 5.0904077e+02
2.0109167e+03, 5.2325863e+02
2.0113155e+03, 5.0438875e+02
2.0117143e+03, 5.0460657e+02
2.0121131e+03, 5.2304020e+02
2.0125119e+03, 5.5351766e+02
2.0129107e+03, 5.4927153e+02
2.0133095e+03, 5.3633657e+02
2.0137083e+03, 5.0450383e+02
2.0141071e+03, 5.0665492e+02
2.0145060e+03, 5.1858535e+02
2.0149048e+03, 5.3580115e+02
2.0153036e+03, 5.1869520e+02
2.0157024e+03, 5.0726756e+02
2.0161012e+03, 5.4538499e+02
2.0165000e+03, 5.3946829e+02
