time [yr], capacity [units]
1.9830000e+03, 1.1079483e+03
1.9833988e+03, 1.1452456e+03
1.9837976e+03, 1.1702032e+03
1.9841964e+03, 1.1368833e+03
1.9845952e+03, 1.1510046e+03
1.9849940e+03, 1.1992997e+03
1.9853929e+03, 1.1181426e+03
1.9857917e+03, 1.1559886e+03
1.9861905e+03, 1.1820002e+03
1.9865893e+03, 1.1826851e+03
1.9869881e+03, 1.1852307e+03
1.9873869e+03, 1.1189184e+03
1.9877857e+03, 1.1869805e+03
1.9881845e+03, 1.1769701e+03
1.9885833e+03, 1.1442610e+03
1.9889821e+03, 1.1972675e+03
1.9893810e+03, 1.1311018e+03
1.9897798e+03, 1.1936061e+03
1.9901786e+03, 1.1042133e+03
1.9905774e+03, 1.1166010e+03
1.9909762e+03, 1.1493134e+03
1.9913750e+03, 1.1155215e+03
1.9917738e+03, 1.1477739e+03
1.9921726e+03, 1.1269083e+03
1.9925714e+03, 1.1700172e+03
1.9929702e+03, 1.1478364e+03
1.9933690e+03, 1.1970465e+03
1.9937679e+03, 1.1437482e+03
1.9941667e+03, 1.1942177e+03
1.9945655e+03, 1.1539248e+03
1.9949643e+03, 1.1803982e+03
1.9953631e+03, 1.1769492e+03
1.9957619e+03, 1.1842033e+03
1.9961607e+03, 1.1715747e+03
1.9965595e+03, 1.1930023e+03
1.9969583e+03, 1.1722245e+03
1.9973571e+03, 1.1985440e+03
1.9977560e+03, 1.1943194e+03
1.9981548e+03, 1.1616226e+03
1.9985536e+03, 1.1323600e+03
1.9989524e+03, 1.1458426e+03
1.9993512e+03, 1.1959113e+03
1.9997500e+03, 1.1170491e+03
2.0001488e+03, 1.1448848e+03
2.0005476e+03, 1.1229110e+03
2.0009464e+03, 1.1679289e+03
2.0013452e+03, 1.1990107e+03
2.0017440e+03, 1.1130262e+03
2.0021429e+03, 1.1753116e+03
2.0025417e+03, 1.1232393e+03
2.0029405e+03, 1.1557250e+03
2.0033393e+03, 1.1092170e+03
2.0037381e+03, 1.1187812e+03
2.0041369e+03, 1.1749704e+03
2.0045357e+03, 1.1750206e+03
2.0049345e+03, 1.1580285e+03
2.0053333e+03, 1.1137496e+03
2.0057321e+03, 1.1124777e+03
2.0061310e+03, 1.1441228e+03
2.0065298e+03, 1.1450207e+03
2.0069286e+03, 1.1319483e+03
2.0073274e+03, 1.1656225e+03
2.0077262e+03, 1.1050212e+03
2.0081250e+03, 1.1876509e+03
2.0085238e+03, 1.1527307e+03
2.0089226e+03, 1.1605105e+03
2.0093214e+03, 1.1739562e+03
2.0097202e+03, 1.1592220e+03
2.0101190e+03, 1.1716612e+03
2.0105179e+03, 1.2076643e+03
2.0109167e+03, 1.1794837e+03
2.0113155e+03, 1.1089946e+03
2.0117143e+03, 1.1218242e+03
2.0121131e+03, 1.1873543e+03
2.0125119e+03, 1.1057600e+03
2.0129107e+03, 1.1956828e+03
2.0133095e+03, 1.2099734e+03
2.0137083e+03, 1.1507271e+03
2.0141071e+03, 1.2044472e+03
2.0145060e+03, 1.1087262e+03
2.0149048e+03, 1.1741276e+03
2.0153036e+03, 1.1253286e+03
2.0157024e+03, 1.1157541e+03
2.0161012e+03, 1.1716201e+03
2.0165000e+03, 1.1788624e+03
