time [yr], capacity [units]
1.9830000e+03, 1.2801535e+02
1.9833988e+03, 1.2068467e+02
1.9837976e+03, 1.2666301e+02
1.9841964e+03, 1.1826052e+02
1.9845952e+03, 1.2939807e+02
1.9849940e+03, 1.2635338e+02
1.9853929e+03, 1.2897225e+02
1.9857917e+03, 1.1857674e+02
1.9861905e+03, 1.2523713e+02
1.9865893e+03, 1.1888759e+02
1.9869881e+03, 1.2198445e+02
1.9873869e+03, 1.2652583e+02
1.9877857e+03, 1.2177725e+02
1.9881845e+03, 1.2518311e+02
1.9885833e+03, 1.2252302e+02
1.9889821e+03, 1.1898824e+02
1.9893810e+03, 1.1932113e+02
1.9897798e+03, 1.2928112e+02
1.9901786e+03, 1.2488896e+02
1.9905774e+03, 1.2314687e+02
1.9909762e+03, 1.2076111e+02
1.9913750e+03, 1.1993569e+02
1.9917738e+03, 1.2299442e+02
1.9921726e+03, 1.2256466e+02
1.9925714e+03, 1.2654406e+02
1.9929702e+03, 1.2443187e+02
1.9933690e+03, 1.2202250e+02
1.9937679e+03, 1.2904077e+02
1.9941667e+03, 1.2369429e+02
1.9945655e+03, 1.2268634e+02
1.9949643e+03, 1.2826983e+02
1.9953631e+03, 1.1865846e+02
1.9957619e+03, 1.2136792e+02
1.9961607e+03, 1.2476889e+02
1.9965595e+03, 1.2119910e+02
1.9969583e+03, 1.2399556e+02
1.9973571e+03, 1.2135185e+02
1.9977560e+03, 1.1840278e+02
1.9981548e+03, 1.1813069e+02
1.9985536e+03, 1.2582815e+02
1.9989524e+03, 1.2365969e+02
1.9993512e+03, 1.2743758e+02
1.9997500e+03, 1.2823085e+02
2.0001488e+03, 1.1940595e+02
2.0005476e+03, 1.2583095e+02
2.0009464e+03, 1.1936656e+02
2.0013452e+03, 1.2288792e+02
2.0017440e+03, 1.2200483e+02
2.0021429e+03, 1.2729339e+02
2.0025417e+03, 1.2053508e+02
2.0029405e+03, 1.2699612e+02
2.0033393e+03, 1.2511238e+02
2.0037381e+03, 1.1987742e+02
2.0041369e+03, 1.2442451e+02
2.0045357e+03, 1.2618443e+02
2.0049345e+03, 1.2184181e+02
2.0053333e+03, 1.2553888e+02
2.0057321e+03, 1.1955654e+02
2.0061310e+03, 1.2445385e+02
2.0065298e+03, 1.1973097e+02
2.0069286e+03, 1.2039709e+02
2.0073274e+03, 1.1846716e+02
2.0077262e+03, 1.2599792e+02
2.0081250e+03, 1.2447573e+02
2.0085238e+03, 1.2471887e+02
2.0089226e+03, 1.2340364e+02
2.0093214e+03, 1.2943583e+02
2.0097202e+03, 1.2256476e+02
2.0101190e+03, 1.2056156e+02
2.0105179e+03, 1.1964850e+02
2.0109167e+03, 1.1927779e+02
2.0113155e+03, 1.2268173e+02
2.0117143e+03, 1.2961296e+02
2.0121131e+03, 1.2636749e+02
2.0125119e+03, 1.2521232e+02
2.0129107e+03, 1.2306852e+02
2.0133095e+03, 1.2153825e+02
2.0137083e+03, 1.2263436e+02
2.0141071e+03, 1.2841669e+02
2.0145060e+03, 1.2216474e+02
2.0149048e+03, 1.2123862e+02
2.0153036e+03, 1.2274030e+02
2.0157024e+03, 1.2744503e+02
2.0161012e+03, 1.1922906e+02
2.0165000e+03, 1.2162535e+02
