time [yr], capacity [units]
1.9830000e+03, 3.5278613e+02
1.9833988e+03, 3.6884979e+02
1.9837976e+03, 3.5597704e+02
1.9841964e+03, 3.7597686e+02
1.9845952e+03, 3.6993356e+02
1.9849940e+03, 3.7140420e+02
1.9853929e+03, 3.6517156e+02
1.9857917e+03, 3.8364781e+02
1.9861905e+03, 3.6609599e+02
1.9865893e+03, 3.8123460e+02
1.9869881e+03, 3.6959399e+02
1.9873869e+03, 3.6386718e+02
1.9877857e+03, 3.7457621e+02
1.9881845e+03, 3.7848783e+02
1.9885833e+03, 3.6722255e+02
1.9889821e+03, 3.7383835e+02
1.9893810e+03, 3.6108579e+02
1.9897798e+03, 3.5932385e+02
1.9901786e+03, 3.7836497e+02
1.9905774e+03, 3.7396921e+02
1.9909762e+03, 3.7518890e+02
1.9913750e+03, 3.5216080e+02
1.9917738e+03, 3.7908324e+02
1.9921726e+03, 3.8153978e+02
1.9925714e+03, 3.5162491e+02
1.9929702e+03, 3.8309633e+02
1.9933690e+03, 3.6026070e+02
1.9937679e+03, 3.7821167e+02
1.9941667e+03, 3.7353547e+02
1.9945655e+03, 3.5436477e+02
1.9949643e+03, 3.5640108e+02
1.9953631e+03, 3.7184132e+02
1.9957619e+03, 3.6905180e+02
1.9961607e+03, 3.7125013e+02
1.9965595e+03, 3.7783868e+02
1.9969583e+03, 3.7252781e+02
1.9973571e+03, 3.6777071e+02
1.9977560e+03, 3.7186432e+02
1.9981548e+03, 3.8163827e+02
1.9985536e+03, 3.5156869e+02
1.9989524e+03, 3.5496183e+02
1.9993512e+03, 3.7752892e+02
1.9997500e+03, 3.5782522e+02
2.0001488e+03, 3.5874254e+02
2.0005476e+03, 3.6824192e+02
2.0009464e+03, 3.5092367e+02
2.0013452e+03, 3.5376116e+02
2.0017440e+03, 3.7826471e+02
2.0021429e+03, 3.5094272e+02
2.0025417e+03, 3.7787609e+02
2.0029405e+03, 3.6117938e+02
2.0033393e+03, 3.6612745e+02
2.0037381e+03, 3.6049868e+02
2.0041369e+03, 3.5268225e+02
2.0045357e+03, 3.5454347e+02
2.0049345e+03, 3.6789454e+02
2.0053333e+03, 3.7556726e+02
2.0057321e+03, 3.6513051e+02
2.0061310e+03, 3.6913993e+02
2.0065298e+03, 3.7209137e+02
2.0069286e+03, 3.7918983e+02
2.0073274e+03, 3.6184144e+02
2.0077262e+03, 3.5039032e+02
2.0081250e+03, 3.6110963e+02
2.0085238e+03, 3.5050570e+02
2.0089226e+03, 3.7470074e+02
2.0093214e+03, 3.6252908e+02
2.0097202e+03, 3.7962700e+02
2.0101190e+03, 3.6817157e+02
2.0105179e+03, 3.6802090e+02
2.0109167e+03, 3.7566934e+02
2.0113155e+03, 3.6838659e+02
2.0117143e+03, 3.5785613e+02
2.0121131e+03, 3.7204537e+02
2.0125119e+03, 3.5322088e+02
2.0129107e+03, 3.5162513e+02
2.0133095e+03, 3.7340773e+02
2.0137083e+03, 3.6154137e+02
2.0141071e+03, 3.5292638e+02
2.0145060e+03, 3.8062272e+02
2.0149048e+03, 3.5994690e+02
2.0153036e+03, 3.5731700e+02
2.0157024e+03, 3.7443840e+02
2.0161012e+03, 3.6377840e+02
2.0165000e+03, 3.6508772e+02
