time [yr], capacity [units]
1.9830000e+03, 6.4597209e+02
1.9833988e+03, 6.0732417e+02
1.9837976e+03, 6.0811456e+02
1.9841964e+03, 6.4061623e+02
1.9845952e+03, 6.0444954e+02
1.9849940e+03, 6.2669693e+02
1.9853929e+03, 6.2333575e+02
1.9857917e+03, 6.1625176e+02
1.9861905e+03, 6.0911236e+02
1.9865893e+03, 5.9032213e+02
1.9869881e+03, 5.9196839e+02
1.9873869e+03, 6.0103080e+02
1.9877857e+03, 6.1309791e+02
1.9881845e+03, 6.4233639e+02
1.9885833e+03, 6.0478671e+02
1.9889821e+03, 6.3490560e+02
1.9893810e+03, 6.2011786e+02
1.9897798e+03, 6.2756223e+02
1.9901786e+03, 6.2447410e+02
1.9905774e+03, 6.2632181e+02
1.9909762e+03, 5.9357248e+02
1.9913750e+03, 6.0081100e+02
1.9917738e+03, 6.0975322e+02
1.9921726e+03, 6.1418273e+02
1.9925714e+03, 6.2052740e+02
1.9929702e+03, 5.9329110e+02
1.9933690e+03, 6.1000658e+02
1.9937679e+03, 6.2894601e+02
1.9941667e+03, 5.9411933e+02
1.9945655e+03, 6.4755791e+02
1.9949643e+03, 6.2355090e+02
1.9953631e+03, 5.9398779e+02
1.9957619e+03, 6.4200624e+02
1.9961607e+03, 6.1148756e+02
1.9965595e+03, 6.2408338e+02
1.9969583e+03, 6.3179974e+02
1.9973571e+03, 6.4015797e+02
1.9977560e+03, 5.9581965e+02
1.9981548e+03, 6.3526636e+02
1.9985536e+03, 6.1730175e+02
1.9989524e+03, 6.2780662e+02
1.9993512e+03, 6.2367110e+02
1.9997500e+03, 5.9690268e+02
2.0001488e+03, 6.0549439e+02
2.0005476e+03, 6.1077899e+02
2.0009464e+03, 6.4345716e+02
2.0013452e+03, 6.3863235e+02
2.0017440e+03, 6.2337078e+02
2.0021429e+03, 6.2535134e+02
2.0025417e+03, 6.3592288e+02
2.0029405e+03, 5.9762602e+02
2.0033393e+03, 6.0870313e+02
2.0037381e+03, 6.3254461e+02
2.0041369e+03, 5.9243377e+02
2.0045357e+03, 6.2409505e+02
2.0049345e+03, 6.3745490e+02
2.0053333e+03, 5.9952028e+02
2.0057321e+03, 6.0138351e+02
2.0061310e+03, 5.9831991e+02
2.0065298e+03, 6.0313127e+02
2.0069286e+03, 5.9021170e+02
2.0073274e+03, 6.2353479e+02
2.0077262e+03, 6.3073395e+02
2.0081250e+03, 6.1847648e+02
2.0085238e+03, 5.9986140e+02
2.0089226e+03, 6.0031768e+02
2.0093214e+03, 6.1140890e+02
2.0097202e+03, 6.4713260e+02
2.0101190e+03, 6.2177626e+02
2.0105179e+03, 6.1730446e+02
2.0109167e+03, 6.2216209e+02
2.0113155e+03, 6.2136866e+02
2.0117143e+03, 6.4312966e+02
2.0121131e+03, 6.0581378e+02
2.0125119e+03, 5.9473810e+02
2.0129107e+03, 6.4514722e+02
2.0133095e+03, 6.4182966e+02
2.0137083e+03, 6.0591915e+02
2.0141071e+03, 5.9404793e+02
2.0145060e+03, 5.9636097e+02
2.0149048e+03, 6.0579675e+02
2.0153036e+03, 5.9869939e+02
2.0157024e+03, 5.9111846e+02
2.0161012e+03, 6.2420938e+02
2.0165000e+03, 6.4370505e+02
