time [yr], capacity [units]
1.9830000e+03, 7.3740745e+02
1.9833988e+03, 7.7773603e+02
1.9837976e+03, 7.2692614e+02
1.9841964e+03, 7.1008504e+02
1.9845952e+03, 7.1618233e+02
1.9849940e+03, 7.6355986e+02
1.9853929e+03, 7.1202727e+02
1.9857917e+03, 7.7316323e+02
1.9861905e+03, 7.5526701e+02
1.9865893e+03, 7.5370144e+02
1.9869881e+03, 7.6261023e+02
1.9873869e+03, 7.2869629e+02
1.9877857e+03, 7.1625651e+02
1.9881845e+03, 7.7947823e+02
1.9885833e+03, 7.2639931e+02
1.9889821e+03, 7.1207125e+02
1.9893810e+03, 7.3136425e+02
1.9897798e+03, 7.5624237e+02
1.9901786e+03, 7.2724184e+02
1.9905774e+03, 7.4700414e+02
1.9909762e+03, 7.7967028e+02
1.9913750e+03, 7.1783866e+02
1.9917738e+03, 7.4570416e+02
1.9921726e+03, 7.4792955e+02
1.9925714e+03, 7.6286639e+02
1.9929702e+03, 7.3667892e+02
1.9933690e+03, 7.4172397e+02
1.9937679e+03, 7.2584088e+02
1.9941667e+03, 7.4555636e+02
1.9945655e+03, 7.6456194e+02
1.9949643e+03, 7.1899968e+02
1.9953631e+03, 7.3850084e+02
1.9957619e+03, 7.6715824e+02
1.9961607e+03, 7.1471505e+02
1.9965595e+03, 7.4934058e+02
1.9969583e+03, 7.4313661e+02
1.9973571e+03, 7.7410597e+02
1.9977560e+03, 7.1586065e+02
1.9981548e+03, 7.6667297e+02
1.9985536e+03, 7.4278973e+02
1.9989524e+03, 7.5280504e+02
1.9993512e+03, 7.7931776e+02
1.9997500e+03, 7.2683326e+02
2.0001488e+03, 7.5463037e+02
2.0005476e+03, 7.6469316e+02
2.0009464e+03, 7.4732630e+02
2.0013452e+03, 7.1946481e+02
2.0017440e+03, 7.5407970e+02
2.0021429e+03, 7.3601729e+02
2.0025417e+03, 7.1109446e+02
2.0029405e+03, 7.1520967e+02
2.0033393e+03, 7.7715362e+02
2.0037381e+03, 7.6682135e+02
2.0041369e+03, 7.1573641e+02
2.0045357e+03, 7.5066853e+02
2.0049345e+03, 7.6197796e+02
2.0053333e+03, 7.4428771e+02
2.0057321e+03, 7.6222386e+02
2.0061310e+03, 7.1898882e+02
2.0065298e+03, 7.2086447e+02
2.0069286e+03, 7.6843132e+02
2.0073274e+03, 7.7903175e+02
2.0077262e+03, 7.4007652e+02
2.0081250e+03, 7.4881952e+02
2.0085238e+03, 7.4245718e+02
2.0089226e+03, 7.2618674e+02
2.0093214e+03, 7.3837232e+02
2.0097202e+03, 7.5950031e+02
2.0101190e+03, 7.1430642e+02
2.0105179e+03, 7.3485664e+02
2.0109167e+03, 7.4413404e+02
2.0113155e+03, 7.7237822e+02
2.0117143e+03, 7.2996464e+02
2.0121131e+03, 7.2171741e+02
2.0125119e+03, 7.4263011e+02
2.0129107e+03, 7.6253610e+02
2.0133095e+03, 7.2622593e+02
2.0137083e+03, 7.1998413e+02
2.0141071e+03, 7.5507889e+02
2.0145060e+03, 7.5123514e+02
2.0149048e+03, 7.6436848e+02
2.0153036e+03, 7.2091869e+02
2.0157024e+03, 7.7816690e+02
2.0161012e+03, 7.1991654e+02
2.0165000e+03, 7.7650274e+02
