time [yr], capacity [units]
1.9830000e+03, 1.8172214e+03
1.9833988e+03, 1.8216169e+03
1.9837976e+03, 1.7938714e+03
1.9841964e+03, 1.8033288e+03
1.9845952e+03, 1.7343982e+03
1.9849940e+03, 1.7708171e+03
1.9853929e+03, 1.7136215e+03
1.9857917e+03, 1.7810037e+03
1.9861905e+03, 1.7650722e+03
1.9865893e+03, 1.7622434e+03
1.9869881e+03, 1.7981003e+03
1.9873869e+03, 1.7681234e+03
1.9877857e+03, 1.8494342e+03
1.9881845e+03, 1.8139688e+03
1.9885833e+03, 1.8384796e+03
1.9889821e+03, 1.8416704e+03
1.9893810e+03, 1.7288076e+03
1.9897798e+03, 1.7176321e+03
1.9901786e+03, 1.7650439e+03
1.9905774e+03, 1.7672825e+03
1.9909762e+03, 1.8017958e+03
1.9913750e+03, 1.7620918e+03
1.9917738e+03, 1.7203061e+03
1.9921726e+03, 1.7899666e+03
1.9925714e+03, 1.7146975e+03
1.9929702e+03, 1.6951307e+03
1.9933690e+03, 1.6909991e+03
1.9937679e+03, 1.7436834e+03
1.9941667e+03, 1.7641763e+03
1.9945655e+03, 1.8369256e+03
1.9949643e+03, 1.7921380e+03
1.9953631e+03, 1.7495889e+03
1.9957619e+03, 1.8398731e+03
1.9961607e+03, 1.8516894e+03
1.9965595e+03, 1.7102795e+03
1.9969583e+03, 1.8484394e+03
1.9973571e+03, 1.7643636e+03
1.9977560e+03, 1.8037724e+03
1.9981548e+03, 1.8369962e+03
1.9985536e+03, 1.7859650e+03
1.9989524e+03, 1.7559100e+03
1.9993512e+03, 1.8332754e+03
1.9997500e+03, 1.8134927e+03
2.0001488e+03, 1.7463253e+03
2.0005476e+03, 1.7557018e+03
2.0009464e+03, 1.7417381e+03
2.0013452e+03, 1.7514930e+03
2.0017440e+03, 1.7835837e+03
2.0021429e+03, 1.8119548e+03
2.0025417e+03, 1.7939410e+03
2.0029405e+03, 1.7258360e+03
2.0033393e+03, 1.8537081e+03
2.0037381e+03, 1.7963805e+03
2.0041369e+03, 1.7012225e+03
2.0045357e+03, 1.8488793e+03
2.0049345e+03, 1.6977732e+03
2.0053333e+03, 1.8354143e+03
2.0057321e+03, 1.7792846e+03
2.0061310e+03, 1.8078265e+03
2.0065298e+03, 1.7569288e+03
2.0069286e+03, 1.8038759e+03
2.0073274e+03, 1.7905708e+03
2.0077262e+03, 1.8347793e+03
2.0081250e+03, 1.8531023e+03
2.0085238e+03, 1.7519724e+03
2.0089226e+03, 1.7005387e+03
2.0093214e+03, 1.7657033e+03
2.0097202e+03, 1.8323601e+03
2.0101190e+03, 1.6953111e+03
2.0105179e+03, 1.8482426e+03
2.0109167e+03, 1.7890947e+03
2.0113155e+03, 1.8362431e+03
2.0117143e+03, 1.7969095e+03
2.0121131e+03, 1.7504973e+03
2.0125119e+03, 1.8187163e+03
2.0129107e+03, 1.7716558e+03
2.0133095e+03, 1.7953040e+03
2.0137083e+03, 1.7122335e+03
2.0141071e+03, 1.8151273e+03
2.0145060e+03, 1.8150423e+03
2.0149048e+03, 1.7045097e+03
2.0153036e+03, 1.7185394e+03
2.0157024e+03, 1.7901057e+03
2.0161012e+03, 1.8211940e+03
2.0165000e+03, 1.7245773e+03
