time [yr], capacity [units]
1.9830000e+03, 8.8055902e+02
1.9833988e+03, 8.3291351e+02
1.9837976e+03, 8.1994319e+02
1.9841964e+03, 8.6963079e+02
1.9845952e+03, 8.6935818e+02
1.9849940e+03, 8.8744623e+02
1.9853929e+03, 8.4965522e+02
1.9857917e+03, 8.5114201e+02
1.9861905e+03, 8.4316984e+02
1.9865893e+03, 8.8741043e+02
1.9869881e+03, 8.7658636e+02
1.9873869e+03, 8.3992880e+02
1.9877857e+03, 8.7624244e+02
1.9881845e+03, 8.5405315e+02
1.9885833e+03, 8.6572944e+02
1.9889821e+03, 8.5939790e+02
1.9893810e+03, 8.8103108e+02
1.9897798e+03, 8.1654752e+02
1.9901786e+03, 8.1795410e+02
1.9905774e+03, 8.1403844e+02
1.9909762e+03, 8.3984938e+02
1.9913750e+03, 8.4193566e+02
1.9917738e+03, 8.6803214e+02
1.9921726e+03, 8.7169414e+02
1.9925714e+03, 8.2842628e+02
1.9929702e+03, 8.3862354e+02
1.9933690e+03, 8.6417553e+02
1.9937679e+03, 8.7044401e+02
1.9941667e+03, 8.8631428e+02
1.9945655e+03, 8.2467018e+02
1.9949643e+03, 8.7395310e+02
1.9953631e+03, 8.7699183e+02
1.9957619e+03, 8.8477756e+02
1.9961607e+03, 8.6795783e+02
1.9965595e+03, 8.5257012e+02
1.9969583e+03, 8.3068110e+02
1.9973571e+03, 8.5708985e+02
1.9977560e+03, 8.4222231e+02
1.9981548e+03, 8.4195083e+02
1.9985536e+03, 8.4235559e+02
1.9989524e+03, 8.2529249e+02
1.9993512e+03, 8.6179158e+02
1.9997500e+03, 8.3979263e+02
2.0001488e+03, 8.2652579e+02
2.0005476e+03, 8.8725017e+02
2.0009464e+03, 8.2498864e+02
2.0013452e+03, 8.1634306e+02
2.0017440e+03, 8.4325584e+02
2.0021429e+03, 8.2919906e+02
2.0025417e+03, 8.7770883e+02
2.0029405e+03, 8.8474195e+02
2.0033393e+03, 8.0935073e+02
2.0037381e+03, 8.1650676e+02
2.0041369e+03, 8.8821246e+02
2.0045357e+03, 8.4436703e+02
2.0049345e+03, 8.8140067e+02
2.0053333e+03, 8.4219892e+02
2.0057321e+03, 8.2147036e+02
2.0061310e+03, 8.5299769e+02
2.0065298e+03, 8.6352020e+02
2.0069286e+03, 8.3972340e+02
2.0073274e+03, 8.6253029e+02
2.0077262e+03, 8.8632766e+02
2.0081250e+03, 8.7580435e+02
2.0085238e+03, 8.2688358e+02
2.0089226e+03, 8.4446921e+02
2.0093214e+03, 8.2335959e+02
2.0097202e+03, 8.7425310e+02
2.0101190e+03, 8.6579109e+02
2.0105179e+03, 8.7913918e+02
2.0109167e+03, 8.5663773e+02
2.0113155e+03, 8.7433995e+02
2.0117143e+03, 8.1415507e+02
2.0121131e+03, 8.4372765e+02
2.0125119e+03, 8.1273845e+02
2.0129107e+03, 8.8353962e+02
2.0133095e+03, 8.8392755e+02
2.0137083e+03, 8.2447488e+02
2.0141071e+03, 8.3751088e+02
2.0145060e+03, 8.1731648e+02
2.0149048e+03, 8.1539159e+02
2.0153036e+03, 8.6782643e+02
2.0157024e+03, 8.6333672e+02
2.0161012e+03, 8.5301711e+02
2.0165000e+03, 8.3951577e+02
