time [yr], capacity [units]
1.9830000e+03, 8.3720791e+02
1.9833988e+03, 8.0058072e+02
1.9837976e+03, 7.8256925e+02
1.9841964e+03, 7.8793697e+02
1.9845952e+03, 8.0379858e+02
1.9849940e+03, 8.3963913e+02
1.9853929e+03, 7.8628366e+02
1.9857917e+03, 8.3780828e+02
1.9861905e+03, 8.1295788e+02
1.9865893e+03, 7.7105577e+02
1.9869881e+03, 7.7903794e+02
1.9873869e+03, 8.1504748e+02
1.9877857e+03, 7.7750478e+02
1.9881845e+03, 7.8657249e+02
1.9885833e+03, 7.8917634e+02
1.9889821e+03, 7.9522804e+02
1.9893810e+03, 8.0658336e+02
1.9897798e+03, 8.0786393e+02
1.9901786e+03, 7.8956723e+02
1.9905774e+03, 8.1109799e+02
1.9909762e+03, 7.7411491e+02
1.9913750e+03, 8.2944886e+02
1.9917738e+03, 8.1042972e+02
1.9921726e+03, 8.3628799e+02
1.9925714e+03, 8.3459858e+02
1.9929702e+03, 8.0073086e+02
1.9933690e+03, 7.8632413e+02
1.9937679e+03, 8.4087679e+02
1.9941667e+03, 8.2073936e+02
1.9945655e+03, 7.9173034e+02
1.9949643e+03, 7.8108885e+02
1.9953631e+03, 8.2109218e+02
1.9957619e+03, 7.9142529e+02
1.9961607e+03, 8.2528036e+02
1.9965595e+03, 8.3353423e+02
1.9969583e+03, 8.3667628e+02
1.9973571e+03, 8.1471330e+02
1.9977560e+03, 8.2915319e+02
1.9981548e+03, 7.7560471e+02
1.9985536e+03, 8.4289946e+02
1.9989524e+03, 7.9631130e+02
1.9993512e+03, 8.1999783e+02
1.9997500e+03, 8.2298929e+02
2.0001488e+03, 7.7703534e+02
2.0005476e+03, 8.4512826e+02
2.0009464e+03, 8.1293168e+02
2.0013452e+03, 8.2513203e+02
2.0017440e+03, 8.4036301e+02
2.0021429e+03, 8.2685724e+02
2.0025417e+03, 8.0609616e+02
2.0029405e+03, 8.1569739e+02
2.0033393e+03, 7.8506149e+02
2.0037381e+03, 7.7236257e+02
2.0041369e+03, 8.3299501e+02
2.0045357e+03, 7.7777886e+02
2.0049345e+03, 8.0367066e+02
2.0053333e+03, 7.9834627e+02
2.0057321e+03, 7.8289548e+02
2.0061310e+03, 8.3533940e+02
2.0065298e+03, 8.2496326e+02
2.0069286e+03, 8.1645768e+02
2.0073274e+03, 7.7003392e+02
2.0077262e+03, 7.8860624e+02
2.0081250e+03, 8.4452366e+02
2.0085238e+03, 8.2591950e+02
2.0089226e+03, 8.3034655e+02
2.0093214e+03, 8.2715963e+02
2.0097202e+03, 8.4535133e+02
2.0101190e+03, 7.8809032e+02
2.0105179e+03, 7.8280624e+02
2.0109167e+03, 7.7823161e+02
2.0113155e+03, 8.0009097e+02
2.0117143e+03, 8.0328817e+02
2.0121131e+03, 7.7332225e+02
2.0125119e+03, 7.8609998e+02
2.0129107e+03, 8.4194322e+02
2.0133095e+03, 8.0952108e+02
2.0137083e+03, 8.0646878e+02
2.0141071e+03, 8.4640982e+02
2.0145060e+03, 7.8394392e+02
2.0149048e+03, 8.3057569e+02
2.0153036e+03, 8.1239404e+02
2.0157024e+03, 8.0367397e+02
2.0161012e+03, 7.7928283e+02
2.0165000e+03, 7.7305297e+02
