time [yr], capacity [units]
1.9830000e+03, 4.8460893e+02
1.9833988e+03, 5.0191859e+02
1.9837976e+03, 4.8800942e+02
1.9841964e+03, 4.6295900e+02
1.9845952e+03, 4.7978317e+02
1.9849940e+03, 4.8642750e+02
1.9853929e+03, 4.9925392e+02
1.9857917e+03, 4.9207911e+02
1.9861905e+03, 4.9078107e+02
1.9865893e+03, 4.8672982e+02
1.9869881e+03, 4.7520371e+02
1.9873869e+03, 4.9244549e+02
1.9877857e+03, 4.8114230e+02
1.9881845e+03, 5.0125567e+02
1.9885833e+03, 4.7266567e+02
1.9889821e+03, 4.6103043e+02
1.9893810e+03, 4.9346464e+02
1.9897798e+03, 4.9596652e+02
1.9901786e+03, 4.7530076e+02
1.9905774e+03, 4.9638169e+02
1.9909762e+03, 4.6646435e+02
1.9913750e+03, 4.7749615e+02
1.9917738e+03, 4.6339275e+02
1.9921726e+03, 4.9156591e+02
1.9925714e+03, 4.7926168e+02
1.9929702e+03, 4.7389336e+02
1.9933690e+03, 4.6596431e+02
1.9937679e+03, 4.7485873e+02
1.9941667e+03, 4.9105861e+02
1.9945655e+03, 4.9393602e+02
1.9949643e+03, 4.8327349e+02
1.9953631e+03, 4.8278035e+02
1.9957619e+03, 4.7519255e+02
1.9961607e+03, 4.9944725e+02
1.9965595e+03, 4.9967854e+02
1.9969583e+03, 4.7167179e+02
1.9973571e+03, 4.9874550e+02
1.9977560e+03, 5.0518096e+02
1.9981548e+03, 4.8644933e+02
1.9985536e+03, 4.9651269e+02
1.9989524e+03, 4.9258183e+02
1.9993512e+03, 4.9786232e+02
1.9997500e+03, 5.0132007e+02
2.0001488e+03, 4.8460347e+02
2.0005476e+03, 4.9573971e+02
2.0009464e+03, 4.7059551e+02
2.0013452e+03, 4.9041368e+02
2.0017440e+03, 5.0430879e+02
2.0021429e+03, 5.0307706e+02
2.0025417e+03, 5.0645234e+02
2.0029405e+03, 4.6549344e+02
2.0033393e+03, 4.8162891e+02
2.0037381e+03, 5.0641350e+02
2.0041369e+03, 4.8123152e+02
2.0045357e+03, 4.7315119e+02
2.0049345e+03, 5.0684884e+02
2.0053333e+03, 4.9679860e+02
2.0057321e+03, 4.8403866e+02
2.0061310e+03, 4.7246991e+02
2.0065298e+03, 4.6391083e+02
2.0069286e+03, 4.8499658e+02
2.0073274e+03, 4.7753586e+02
2.0077262e+03, 4.6675425e+02
2.0081250e+03, 4.8159772e+02
2.0085238e+03, 5.0522475e+02
2.0089226e+03, 4.6383742e+02
2.0093214e+03, 4.7232344e+02
2.0097202e+03, 4.7862783e+02
2.0101190e+03, 4.9392950e+02
2.0105179e+03, 4.9129987e+02
2.0109167e+03, 4.8185111e+02
2.0113155e+03, 4.8532671e+02
2.0117143e+03, 4.6708902e+02
2.0121131e+03, 5.0363153e+02
2.0125119e+03, 5.0250638e+02
2.0129107e+03, 4.7991408e+02
2.0133095e+03, 4.6821007e+02
2.0137083e+03, 4.7095308e+02
2.0141071e+03, 4.9611602e+02
2.0145060e+03, 5.0075403e+02
2.0149048e+03, 4.8771460e+02
2.0153036e+03, 4.7925595e+02
2.0157024e+03, 4.9395026e+02
2.0161012e+03, 4.9909935e+02
2.0165000e+03, 4.9728872e+02
