time [yr], capacity [units]
1.9830000e+03, 5.1588807e+02
1.9833988e+03, 5.0156918e+02
1.9837976e+03, 4.8896006e+02
1.9841964e+03, 5.0112141e+02
1.9845952e+03, 5.1514730e+02
1.9849940e+03, 5.0854676e+02
1.9853929e+03, 4.9680036e+02
1.9857917e+03, 4.9931891e+02
1.9861905e+03, 4.9087359e+02
1.9865893e+03, 5.2216812e+02
1.9869881e+03, 5.1928427e+02
1.9873869e+03, 4.7856520e+02
1.9877857e+03, 5.1930370e+02
1.9881845e+03, 5.2435630e+02
1.9885833e+03, 5.0744317e+02
1.9889821e+03, 5.2574416e+02
1.9893810e+03, 4.9464657e+02
1.9897798e+03, 4.7840151e+02
1.9901786e+03, 4.8160171e+02
1.9905774e+03, 5.0535320e+02
1.9909762e+03, 4.9949197e+02
1.9913750e+03, 5.2243508e+02
1.9917738e+03, 5.2115002e+02
1.9921726e+03, 5.2237608e+02
1.9925714e+03, 5.1402626e+02
1.9929702e+03, 4.9925859e+02
1.9933690e+03, 4.8519104e+02
1.9937679e+03, 5.0133400e+02
1.9941667e+03, 4.8614093e+02
1.9945655e+03, 5.1935483e+02
1.9949643e+03, 5.0191816e+02
1.9953631e+03, 4.9039262e+02
1.9957619e+03, 4.9365904e+02
1.9961607e+03, 4.8660001e+02
1.9965595e+03, 5.2184042e+02
1.9969583e+03, 5.2403141e+02
1.9973571e+03, 5.1152948e+02
1.9977560e+03, 5.0940036e+02
1.9981548e+03, 5.0703168e+02
1.9985536e+03, 5.0644639e+02
1.9989524e+03, 5.0270795e+02
1.9993512e+03, 4.9004753e+02
1.9997500e+03, 5.1946503e+02
2.0001488e+03, 4.8263687e+02
2.0005476e+03, 5.0079185e+02
2.0009464e+03, 4.9335377e+02
2.0013452e+03, 5.0355033e+02
2.0017440e+03, 5.1202422e+02
2.0021429e+03, 5.0434482e+02
2.0025417e+03, 5.2183432e+02
2.0029405e+03, 4.7984804e+02
2.0033393e+03, 5.0553100e+02
2.0037381e+03, 4.8681543e+02
2.0041369e+03, 4.8508418e+02
2.0045357e+03, 4.8628664e+02
2.0049345e+03, 5.2138994e+02
2.0053333e+03, 5.2067979e+02
2.0057321e+03, 5.1912049e+02
2.0061310e+03, 4.8425946e+02
2.0065298e+03, 4.8534669e+02
2.0069286e+03, 4.8005881e+02
2.0073274e+03, 5.2162593e+02
2.0077262e+03, 5.0064314e+02
2.0081250e+03, 5.0498559e+02
2.0085238e+03, 4.8051875e+02
2.0089226e+03, 4.8271281e+02
2.0093214e+03, 4.9630534e+02
2.0097202e+03, 4.7856350e+02
2.0101190e+03, 4.9105747e+02
2.0105179e+03, 4.8162447e+02
2.0109167e+03, 5.1819814e+02
2.0113155e+03, 4.8546180e+02
2.0117143e+03, 5.2030272e+02
2.0121131e+03, 4.9354854e+02
2.0125119e+03, 4.9162664e+02
2.0129107e+03, 5.1812594e+02
2.0133095e+03, 4.9305924e+02
2.0137083e+03, 4.8072574e+02
2.0141071e+03, 5.0564633e+02
2.0145060e+03, 5.0244328e+02
2.0149048e+03, 5.0497580e+02
2.0153036e+03, 5.1653159e+02
2.0157024e+03, 4.8821125e+02
2.0161012e+03, 5.0021745e+02
2.0165000e+03, 5.1435392e+02
