time [yr], capacity [units]
1.9830000e+03, 9.4690290e+02
1.9833988e+03, 9.7490412e+02
1.9837976e+03, 1.0250017e+03
1.9841964e+03, 1.0283021e+03
1.9845952e+03, 9.8163479e+02
1.9849940e+03, 1.0177338e+03
1.9853929e+03, 9.8088998e+02
1.9857917e+03, 9.4578141e+02
1.9861905e+03, 1.0117718e+03
1.9865893e+03, 9.9658274e+02
1.9869881e+03, 1.0276131e+03
1.9873869e+03, 9.5314334e+02
1.9877857e+03, 9.4678942e+02
1.9881845e+03, 9.9913119e+02
1.9885833e+03, 9.3934554e+02
1.9889821e+03, 9.9581713e+02
1.9893810e+03, 9.5347378e+02
1.9897798e+03, 9.9888339e+02
1.9901786e+03, 1.0131224e+03
1.9905774e+03, 1.0053960e+03
1.9909762e+03, 1.0010155e+03
1.9913750e+03, 1.0125815e+03
1.9917738e+03, 9.8238236e+02
1.9921726e+03, 9.5803998e+02
1.9925714e+03, 9.4893069e+02
1.9929702e+03, 9.6469891e+02
1.9933690e+03, 1.0018422e+03
1.9937679e+03, 9.7688722e+02
1.9941667e+03, 9.9132115e+02
1.9945655e+03, 9.8375612e+02
1.9949643e+03, 1.0019886e+03
1.9953631e+03, 9.4806560e+02
1.9957619e+03, 1.0279730e+03
1.9961607e+03, 1.0260975e+03
1.9965595e+03, 9.6888051e+02
1.9969583e+03, 1.0084427e+03
1.9973571e+03, 1.0238662e+03
1.9977560e+03, 1.0226111e+03
1.9981548e+03, 9.7245176e+02
1.9985536e+03, 1.0077767e+03
1.9989524e+03, 9.5554410e+02
1.9993512e+03, 9.9763451e+02
1.9997500e+03, 9.9884781e+02
2.0001488e+03, 9.8210774e+02
2.0005476e+03, 9.9249607e+02
2.0009464e+03, 9.9707701e+02
2.0013452e+03, 1.0129282e+03
2.0017440e+03, 9.8928678e+02
2.0021429e+03, 1.0030911e+03
2.0025417e+03, 1.0245547e+03
2.0029405e+03, 9.7018529e+02
2.0033393e+03, 9.3713772e+02
2.0037381e+03, 9.4894960e+02
2.0041369e+03, 9.8307768e+02
2.0045357e+03, 1.0267117e+03
2.0049345e+03, 9.4454053e+02
2.0053333e+03, 9.6268349e+02
2.0057321e+03, 1.0026378e+03
2.0061310e+03, 9.5404786e+02
2.0065298e+03, 9.9743911e+02
2.0069286e+03, 9.5105229e+02
2.0073274e+03, 1.0112356e+03
2.0077262e+03, 9.6169997e+02
2.0081250e+03, 9.8855721e+02
2.0085238e+03, 1.0071348e+03
2.0089226e+03, 9.5484805e+02
2.0093214e+03, 1.0235852e+03
2.0097202e+03, 9.5471281e+02
2.0101190e+03, 1.0268290e+03
2.0105179e+03, 9.9823458e+02
2.0109167e+03, 9.9461881e+02
2.0113155e+03, 9.7754523e+02
2.0117143e+03, 1.0069108e+03
2.0121131e+03, 1.0031912e+03
2.0125119e+03, 9.8673558e+02
2.0129107e+03, 9.7033673e+02
2.0133095e+03, 9.3672279e+02
2.0137083e+03, 9.8711423e+02
2.0141071e+03, 9.3904490e+02
2.0145060e+03, 9.8430631e+02
2.0149048e+03, 9.8052489e+02
2.0153036e+03, 9.9796710e+02
2.0157024e+03, 9.8947302e+02
2.0161012e+03, 9.5107705e+02
2.0165000e+03, 9.6543173e+02
