time [yr], capacity [units]
1.9830000e+03, 4.2387025e+02
1.9833988e+03, 4.2386077e+02
1.9837976e+03, 4.1386378e+02
1.9841964e+03, 4.3366266e+02
1.9845952e+03, 4.1099915e+02
1.9849940e+03, 4.4236611e+02
1.9853929e+03, 4.0740952e+02
1.9857917e+03, 4.3973960e+02
1.9861905e+03, 4.3304843e+02
1.9865893e+03, 4.1732243e+02
1.9869881e+03, 4.3385405e+02
1.9873869e+03, 4.2338002e+02
1.9877857e+03, 4.2267028e+02
1.9881845e+03, 4.3104868e+02
1.9885833e+03, 4.2058487e+02
1.9889821e+03, 4.1134569e+02
1.9893810e+03, 4.3254279e+02
1.9897798e+03, 4.4260868e+02
1.9901786e+03, 4.1766684e+02
1.9905774e+03, 4.1531350e+02
1.9909762e+03, 4.3005538e+02
1.9913750e+03, 4.2377577e+02
1.9917738e+03, 4.2441932e+02
1.9921726e+03, 4.2194278e+02
1.9925714e+03, 4.3752441e+02
1.9929702e+03, 4.1927017e+02
1.9933690e+03, 4.1947512e+02
1.9937679e+03, 4.1693139e+02
1.9941667e+03, 4.0710998e+02
1.9945655e+03, 4.4289880e+02
1.9949643e+03, 4.4322133e+02
1.9953631e+03, 4.3020164e+02
1.9957619e+03, 4.1994936e+02
1.9961607e+03, 4.0815146e+02
1.9965595e+03, 4.3103605e+02
1.9969583e+03, 4.1792805e+02
1.9973571e+03, 4.3117870e+02
1.9977560e+03, 4.4129063e+02
1.9981548e+03, 4.1066958e+02
1.9985536e+03, 4.2504938e+02
1.9989524e+03, 4.1448732e+02
1.9993512e+03, 4.4411897e+02
1.9997500e+03, 4.0532458e+02
2.0001488e+03, 4.2473466e+02
2.0005476e+03, 4.2649101e+02
2.0009464e+03, 4.3521871e+02
2.0013452e+03, 4.3676530e+02
2.0017440e+03, 4.1232955e+02
2.0021429e+03, 4.0619396e+02
2.0025417e+03, 4.3840648e+02
2.0029405e+03, 4.1573298e+02
2.0033393e+03, 4.2974920e+02
2.0037381e+03, 4.2174623e+02
2.0041369e+03, 4.1202981e+02
2.0045357e+03, 4.3562165e+02
2.0049345e+03, 4.1152875e+02
2.0053333e+03, 4.3527576e+02
2.0057321e+03, 4.3834436e+02
2.0061310e+03, 4.1406551e+02
2.0065298e+03, 4.3380489e+02
2.0069286e+03, 4.1883846e+02
2.0073274e+03, 4.1549125e+02
2.0077262e+03, 4.2058308e+02
2.0081250e+03, 4.1648554e+02
2.0085238e+03, 4.1844415e+02
2.0089226e+03, 4.4399152e+02
2.0093214e+03, 4.1898156e+02
2.0097202e+03, 4.0762836e+02
2.0101190e+03, 4.3194318e+02
2.0105179e+03, 4.0631420e+02
2.0109167e+03, 4.3218808e+02
2.0113155e+03, 4.3434907e+02
2.0117143e+03, 4.2841677e+02
2.0121131e+03, 4.1135466e+02
2.0125119e+03, 4.3916325e+02
2.0129107e+03, 4.0966704e+02
2.0133095e+03, 4.1134240e+02
2.0137083e+03, 4.1160114e+02
2.0141071e+03, 4.3938465e+02
2.0145060e+03, 4.4283980e+02
2.0149048e+03, 4.2992449e+02
2.0153036e+03, 4.3454966e+02
2.0157024e+03, 4.0968439e+02
2.0161012e+03, 4.0422632e+02
2.0165000e+03, 4.3792063e+02
