time [yr], capacity [units]
1.9830000e+03, 9.0674325e+02
1.9833988e+03, 9.5054245e+02
1.9837976e+03, 9.0851516e+02
1.9841964e+03, 9.3565446e+02
1.9845952e+03, 9.7518849e+02
1.9849940e+03, 9.5115080e+02
1.9853929e+03, 9.4574732e+02
1.9857917e+03, 9.4259627e+02
1.9861905e+03, 9.2394586e+02
1.9865893e+03, 9.1266664e+02
1.9869881e+03, 9.2025730e+02
1.9873869e+03, 9.7058797e+02
1.9877857e+03, 9.0820286e+02
1.9881845e+03, 9.2431815e+02
1.9885833e+03, 9.0407593e+02
1.9889821e+03, 9.7609407e+02
1.9893810e+03, 9.7585054e+02
1.9897798e+03, 9.3566275e+02
1.9901786e+03, 9.2478934e+02
1.9905774e+03, 9.1681494e+02
1.9909762e+03, 9.1529035e+02
1.9913750e+03, 9.4701962e+02
1.9917738e+03, 9.3057969e+02
1.9921726e+03, 9.6844052e+02
1.9925714e+03, 9.3918205e+02
1.9929702e+03, 9.8154560e+02
1.9933690e+03, 8.9974325e+02
1.9937679e+03, 9.8039574e+02
1.9941667e+03, 9.5304618e+02
1.9945655e+03, 9.7491747e+02
1.9949643e+03, 9.7745996e+02
1.9953631e+03, 9.7042359e+02
1.9957619e+03, 8.9676225e+02
1.9961607e+03, 9.6851560e+02
1.9965595e+03, 9.8133598e+02
1.9969583e+03, 9.0315400e+02
1.9973571e+03, 9.2247628e+02
1.9977560e+03, 9.7154072e+02
1.9981548e+03, 9.1475620e+02
1.9985536e+03, 9.2654603e+02
1.9989524e+03, 9.0875579e+02
1.9993512e+03, 9.5321747e+02
1.9997500e+03, 9.1224413e+02
2.0001488e+03, 9.3541424e+02
2.0005476e+03, 9.7234334e+02
2.0009464e+03, 9.3015774e+02
2.0013452e+03, 9.0894676e+02
2.0017440e+03, 9.3308067e+02
2.0021429e+03, 9.7520401e+02
2.0025417e+03, 9.4860138e+02
2.0029405e+03, 9.2776558e+02
2.0033393e+03, 9.2157219e+02
2.0037381e+03, 9.3385041e+02
2.0041369e+03, 9.6973845e+02
2.0045357e+03, 9.5521976e+02
2.0049345e+03, 9.2002317e+02
2.0053333e+03, 9.3037160e+02
2.0057321e+03, 9.4138607e+02
2.0061310e+03, 9.8429020e+02
2.0065298e+03, 9.1658214e+02
2.0069286e+03, 9.2684539e+02
2.0073274e+03, 9.7472595e+02
2.0077262e+03, 8.9759806e+02
2.0081250e+03, 9.3098817e+02
2.0085238e+03, 9.1156066e+02
2.0089226e+03, 9.5033823e+02
2.0093214e+03, 9.5734264e+02
2.0097202e+03, 9.3186581e+02
2.0101190e+03, 9.6023037e+02
2.0105179e+03, 9.8108620e+02
2.0109167e+03, 9.4655042e+02
2.0113155e+03, 9.1216306e+02
2.0117143e+03, 9.3251062e+02
2.0121131e+03, 9.7987010e+02
2.0125119e+03, 9.1164440e+02
2.0129107e+03, 9.0830649e+02
2.0133095e+03, 9.1487087e+02
2.0137083e+03, 9.3815803e+02
2.0141071e+03, 9.3190927e+02
2.0145060e+03, 9.2439922e+02
2.0149048e+03, 9.6136635e+02
2.0153036e+03, 9.3818271e+02
2.0157024e+03, 9.0175377e+02
2.0161012e+03, 9.6333631e+02
2.0165000e+03, 9.4727120e+02
