time [yr], capacity [units]
1.9830000e+03, 2.4583693e+02
1.9833988e+03, 2.5754105e+02
1.9837976e+03, 2.5774955e+02
1.9841964e+03, 2.4065122e+02
1.9845952e+03, 2.3999496e+02
1.9849940e+03, 2.4780612e+02
1.9853929e+03, 2.6207650e+02
1.9857917e+03, 2.5800029e+02
1.9861905e+03, 2.4396389e+02
1.9865893e+03, 2.4391827e+02
1.9869881e+03, 2.6164491e+02
1.9873869e+03, 2.6227828e+02
1.9877857e+03, 2.4130743e+02
1.9881845e+03, 2.4645576e+02
1.9885833e+03, 2.5130666e+02
1.9889821e+03, 2.6232157e+02
1.9893810e+03, 2.4290098e+02
1.9897798e+03, 2.4007092e+02
1.9901786e+03, 2.5961372e+02
1.9905774e+03, 2.4679140e+02
1.9909762e+03, 2.6250908e+02
1.9913750e+03, 2.4231772e+02
1.9917738e+03, 2.5657533e+02
1.9921726e+03, 2.4261910e+02
1.9925714e+03, 2.6132379e+02
1.9929702e+03, 2.4179090e+02
1.9933690e+03, 2.5421584e+02
1.9937679e+03, 2.4945085e+02
1.9941667e+03, 2.6017885e+02
1.9945655e+03, 2.5912655e+02
1.9949643e+03, 2.5931339e+02
1.9953631e+03, 2.5647736e+02
1.9957619e+03, 2.4513155e+02
1.9961607e+03, 2.5737138e+02
1.9965595e+03, 2.3905824e+02
1.9969583e+03, 2.4803973e+02
1.9973571e+03, 2.4430596e+02
1.9977560e+03, 2.5074584e+02
1.9981548e+03, 2.5253022e+02
1.9985536e+03, 2.5047323e+02
1.9989524e+03, 2.5166941e+02
1.9993512e+03, 2.6213873e+02
1.9997500e+03, 2.4726867e+02
2.0001488e+03, 2.5332933e+02
2.0005476e+03, 2.4852735e+02
2.0009464e+03, 2.5948502e+02
2.0013452e+03, 2.5918515e+02
2.0017440e+03, 2.5304513e+02
2.0021429e+03, 2.6049592e+02
2.0025417e+03, 2.5068329e+02
2.0029405e+03, 2.5660639e+02
2.0033393e+03, 2.4721711e+02
2.0037381e+03, 2.5628980e+02
2.0041369e+03, 2.5168443e+02
2.0045357e+03, 2.5003074e+02
2.0049345e+03, 2.5141828e+02
2.0053333e+03, 2.4207581e+02
2.0057321e+03, 2.4261868e+02
2.0061310e+03, 2.3986314e+02
2.0065298e+03, 2.4855150e+02
2.0069286e+03, 2.5636225e+02
2.0073274e+03, 2.5938924e+02
2.0077262e+03, 2.5048126e+02
2.0081250e+03, 2.4315778e+02
2.0085238e+03, 2.4988540e+02
2.0089226e+03, 2.5854127e+02
2.0093214e+03, 2.5923881e+02
2.0097202e+03, 2.6280256e+02
2.0101190e+03, 2.6241019e+02
2.0105179e+03, 2.4024294e+02
2.0109167e+03, 2.4706663e+02
2.0113155e+03, 2.5544221e+02
2.0117143e+03, 2.4055018e+02
2.0121131e+03, 2.4371640e+02
2.0125119e+03, 2.5834906e+02
2.0129107e+03, 2.4895897e+02
2.0133095e+03, 2.5339058e+02
2.0137083e+03, 2.4398408e+02
2.0141071e+03, 2.4897685e+02
2.0145060e+03, 2.4530705e+02
2.0149048e+03, 2.4972563e+02
2.0153036e+03, 2.6237533e+02
2.0157024e+03, 2.6080809e+02
2.0161012e+03, 2.5780939e+02
2.0165000e+03, 2.5031368e+02
