time [yr], capacity [units]
1.9830000e+03, 6.5873328e+02
1.9833988e+03, 6.5908458e+02
1.9837976e+03, 6.2184904e+02
1.9841964e+03, 6.7343666e+02
1.9845952e+03, 6.4251715e+02
1.9849940e+03, 6.5824866e+02
1.9853929e+03, 6.6309421e+02
1.9857917e+03, 6.7178459e+02
1.9861905e+03, 6.4279839e+02
1.9865893e+03, 6.7685077e+02
1.9869881e+03, 6.1613473e+02
1.9873869e+03, 6.7272022e+02
1.9877857e+03, 6.3775680e+02
1.9881845e+03, 6.7132186e+02
1.9885833e+03, 6.2450955e+02
1.9889821e+03, 6.2612692e+02
1.9893810e+03, 6.2549725e+02
1.9897798e+03, 6.3969029e+02
1.9901786e+03, 6.7217730e+02
1.9905774e+03, 6.3708854e+02
1.9909762e+03, 6.5955990e+02
1.9913750e+03, 6.2723021e+02
1.9917738e+03, 6.2902639e+02
1.9921726e+03, 6.2187914e+02
1.9925714e+03, 6.1627114e+02
1.9929702e+03, 6.1738702e+02
1.9933690e+03, 6.3196464e+02
1.9937679e+03, 6.6180913e+02
1.9941667e+03, 6.5885661e+02
1.9945655e+03, 6.5324900e+02
1.9949643e+03, 6.5368355e+02
1.9953631e+03, 6.6027909e+02
1.9957619e+03, 6.5814409e+02
1.9961607e+03, 6.6349523e+02
1.9965595e+03, 6.6276899e+02
1.9969583e+03, 6.7576247e+02
1.9973571e+03, 6.3193685e+02
1.9977560e+03, 6.1666658e+02
1.9981548e+03, 6.4315324e+02
1.9985536e+03, 6.5223011e+02
1.9989524e+03, 6.4419437e+02
1.9993512e+03, 6.1678113e+02
1.9997500e+03, 6.4382761e+02
2.0001488e+03, 6.2818095e+02
2.0005476e+03, 6.3340765e+02
2.0009464e+03, 6.7620229e+02
2.0013452e+03, 6.2533330e+02
2.0017440e+03, 6.7157181e+02
2.0021429e+03, 6.7155691e+02
2.0025417e+03, 6.3234962e+02
2.0029405e+03, 6.3817803e+02
2.0033393e+03, 6.1892592e+02
2.0037381e+03, 6.4116688e+02
2.0041369e+03, 6.6452286e+02
2.0045357e+03, 6.6122037e+02
2.0049345e+03, 6.6219406e+02
2.0053333e+03, 6.6745119e+02
2.0057321e+03, 6.6199020e+02
2.0061310e+03, 6.7020401e+02
2.0065298e+03, 6.2641876e+02
2.0069286e+03, 6.4812758e+02
2.0073274e+03, 6.2978612e+02
2.0077262e+03, 6.4133025e+02
2.0081250e+03, 6.3924922e+02
2.0085238e+03, 6.3739046e+02
2.0089226e+03, 6.3838344e+02
2.0093214e+03, 6.1986725e+02
2.0097202e+03, 6.4001473e+02
2.0101190e+03, 6.6227869e+02
2.0105179e+03, 6.3220704e+02
2.0109167e+03, 6.4802091e+02
2.0113155e+03, 6.7315231e+02
2.0117143e+03, 6.4949674e+02
2.0121131e+03, 6.5543256e+02
2.0125119e+03, 6.3159571e+02
2.0129107e+03, 6.4439976e+02
2.0133095e+03, 6.1905913e+02
2.0137083e+03, 6.3090648e+02
2.0141071e+03, 6.4217951e+02
2.0145060e+03, 6.4282110e+02
2.0149048e+03, 6.3524044e+02
2.0153036e+03, 6.5633684e+02
2.0157024e+03, 6.1855386e+02
2.0161012e+03, 6.2146238e+02
2.0165000e+03, 6.5565753e+02
