time [yr], capacity [units]
1.9830000e+03, 1.0071820e+03
1.9833988e+03, 9.7368141e+02
1.9837976e+03, 9.5477598e+02
1.9841964e+03, 9.5845858e+02
1.9845952e+03, 1.0136884e+03
1.9849940e+03, 1.0088379e+03
1.9853929e+03, 1.0259958e+03
1.9857917e+03, 1.0237815e+03
1.9861905e+03, 9.6921046e+02
1.9865893e+03, 9.6278329e+02
1.9869881e+03, 1.0297953e+03
1.9873869e+03, 9.8012228e+02
1.9877857e+03, 9.6079082e+02
1.9881845e+03, 1.0192147e+03
1.9885833e+03, 9.5976674e+02
1.9889821e+03, 1.0257954e+03
1.9893810e+03, 9.8409542e+02
1.9897798e+03, 1.0202343e+03
1.9901786e+03, 1.0340231e+03
1.9905774e+03, 1.0346026e+03
1.9909762e+03, 9.6853558e+02
1.9913750e+03, 1.0423169e+03
1.9917738e+03, 1.0201915e+03
1.9921726e+03, 1.0038263e+03
1.9925714e+03, 9.7183416e+02
1.9929702e+03, 9.5414008e+02
1.9933690e+03, 9.7416015e+02
1.9937679e+03, 1.0123277e+03
1.9941667e+03, 9.8519125e+02
1.9945655e+03, 1.0097837e+03
1.9949643e+03, 1.0024266e+03
1.9953631e+03, 1.0479796e+03
1.9957619e+03, 1.0306204e+03
1.9961607e+03, 9.6490845e+02
1.9965595e+03, 1.0293022e+03
1.9969583e+03, 1.0228386e+03
1.9973571e+03, 1.0422305e+03
1.9977560e+03, 9.6670658e+02
1.9981548e+03, 1.0273124e+03
1.9985536e+03, 1.0245170e+03
1.9989524e+03, 1.0095982e+03
1.9993512e+03, 1.0095205e+03
1.9997500e+03, 9.6052871e+02
2.0001488e+03, 1.0064055e+03
2.0005476e+03, 9.6069733e+02
2.0009464e+03, 1.0058866e+03
2.0013452e+03, 1.0051365e+03
2.0017440e+03, 9.8930458e+02
2.0021429e+03, 1.0430589e+03
2.0025417e+03, 9.6582317e+02
2.0029405e+03, 9.7842269e+02
2.0033393e+03, 9.6790980e+02
2.0037381e+03, 1.0065159e+03
2.0041369e+03, 9.9811425e+02
2.0045357e+03, 1.0315172e+03
2.0049345e+03, 9.5984574e+02
2.0053333e+03, 9.7850280e+02
2.0057321e+03, 1.0190696e+03
2.0061310e+03, 9.7034262e+02
2.0065298e+03, 9.7540978e+02
2.0069286e+03, 1.0010499e+03
2.0073274e+03, 1.0282389e+03
2.0077262e+03, 1.0084899e+03
2.0081250e+03, 1.0172746e+03
2.0085238e+03, 1.0360648e+03
2.0089226e+03, 1.0459255e+03
2.0093214e+03, 1.0172703e+03
2.0097202e+03, 9.8936699e+02
2.0101190e+03, 9.7262267e+02
2.0105179e+03, 1.0098535e+03
2.0109167e+03, 9.8664067e+02
2.0113155e+03, 9.6451258e+02
2.0117143e+03, 1.0244228e+03
2.0121131e+03, 9.6995155e+02
2.0125119e+03, 1.0371470e+03
2.0129107e+03, 1.0406999e+03
2.0133095e+03, 9.6825979e+02
2.0137083e+03, 1.0260249e+03
2.0141071e+03, 9.8163304e+02
2.0145060e+03, 9.5990233e+02
2.0149048e+03, 9.7549215e+02
2.0153036e+03, 1.0227727e+03
2.0157024e+03, 1.0183481e+03
2.0161012e+03, 1.0311433e+03
2.0165000e+03, 1.0103841e+03
